RT,SERIALNO,DIVISION,SPORDER,PUMA,REGION,ST,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP,MIGPUMA,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB,FAGEP,FANCP,FCITP,FCITWP,FCOWP,FDDRSP,FDEARP,FDEYEP,FDISP,FDOUTP,FDPHYP,FDRATP,FDRATXP,FDREMP,FENGP,FESRP,FFERP,FFODP,FGCLP,FGCMP,FGCRP,FHICOVP,FHINS1P,FHINS2P,FHINS3C,FHINS3P,FHINS4C,FHINS4P,FHINS5C,FHINS5P,FHINS6P,FHINS7P,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMARHDP,FMARHMP,FMARHTP,FMARHWP,FMARHYP,FMIGP,FMIGSP,FMILPP,FMILSP,FOCCP,FOIP,FPAP,FPERNP,FPINCP,FPOBP,FPOWSP,FPRIVCOVP,FPUBCOVP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FWRKP,FYOEP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80
P,2.017E+12,6,1,2500,3,1,1011189,206,73,1,,,2,2,2,2,1,,,1,,,2,,,2,2,1,2,2,2,2,0,,,,2,4,2,2,1,2,1979,1,4,,,,,,,,,,2,5,2,2,3,0,0,0,0,1,,10,0,1,0,10000,0,,3,,2,,1,902,999,,1,,,6,,,1,1,,,,,,,5,,1,,0,,,0,10000,1,85,,,2,1,4,2,2,2,0,0,1,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,225,300,297,326,327,164,234,235,62,268,419,90,241,193,72,142,77,246,78,276,184,276,196,272,244,188,269,201,68,304,360,65,145,185,78,239,93,251,283,199,211,63,230,84,186,280,83,225,242,76,57,356,283,206,320,157,280,224,285,200,168,70,179,72,140,306,120,193,261,60,46,260,300,256,370,366,293,250,62
P,2.017E+12,6,1,1800,3,1,1011189,45,31,1,,1,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,50,1,1,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,21,0,2,0,0,38500,42,1,1,1,,2,917,50,,2,1,,1,6100,,1,1,8090,88,39,,,,6,6214,1,,0,350,4,38500,38500,13,302,1200,1,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,2,1,,,119111,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,48,41,55,23,30,14,55,14,16,11,11,38,68,15,12,49,13,19,67,116,74,72,95,40,79,39,61,34,48,60,49,76,51,41,47,106,49,26,56,36,31,34,48,47,39,68,48,80,62,49,141,77,71,57,63,45,63,108,13,11,16,20,19,55,19,34,17,58,36,55,31,11,19,43,103,14,49,49,98
P,2.017E+12,6,1,2400,3,1,1011189,136,41,1,,1,2,2,2,2,2,,,2,,,2,,,1,1,2,1,2,2,2,10000,45,1,1,2,1,2,2,2,2,2000,1,4,,,,,,,,,,3,5,3,3,3,0,0,0,0,1,,17,0,1,0,0,72000,42,1,1,1,,1,210,999,,2,1,,1,,,1,2,770,223,127,,,,1,23,1,,0,6260,,72000,82000,13,467,1700,13,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,,,,,472061,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,147,332,254,56,337,197,108,80,24,43,150,143,199,47,77,130,304,125,41,46,40,111,91,115,297,310,74,149,139,236,238,83,134,74,312,101,139,722,82,372,156,28,58,215,34,141,168,193,490,191,174,98,41,295,291,64,90,176,170,190,456,117,190,484,122,42,124,126,154,101,47,160,333,176,33,131,74,30,185
P,2.017E+12,6,2,2400,3,1,1011189,121,48,1,,,2,2,2,2,2,,,2,,2,2,,,1,1,2,1,2,2,2,0,,,,2,1,2,2,2,2,2000,1,4,,,,,,,,,,2,5,2,2,3,0,0,1,0,1,,16,0,2,8700,0,0,,3,,2,,1,939,999,,2,,,6,,,1,1,,,,,,,1,,1,,0,,2,0,8700,17,467,,,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,102,193,212,58,254,94,106,40,41,39,133,97,181,49,104,201,131,118,41,37,35,89,139,109,82,330,43,113,156,113,199,26,94,149,300,92,126,330,89,160,165,48,57,133,31,118,127,207,219,196,115,136,49,169,129,35,102,101,164,130,223,106,95,167,107,40,166,80,92,147,49,213,197,108,38,150,53,43,114
P,2.017E+12,6,3,2400,3,1,1011189,111,16,1,,,2,2,2,2,2,,,2,,,,,,1,1,2,1,2,2,2,0,,,,2,5,,,,,,1,,,,,,,,,,,2,5,2,2,3,0,0,2,0,2,12,13,0,1,0,0,0,,3,,2,,1,211,999,,2,,2,6,,,1,2,,,,,,,6,,1,1,1,,,0,0,1,467,,,1,1,4,1,1,1,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,138,281,190,52,280,178,97,78,20,42,95,129,177,31,73,115,284,83,46,33,26,77,72,85,198,273,65,87,113,177,216,56,72,54,197,91,138,554,53,305,164,17,36,198,28,92,121,133,397,185,170,96,30,183,230,39,68,168,129,156,372,81,202,390,98,36,118,100,126,62,36,128,266,157,27,117,54,22,149
P,2.017E+12,6,1,2500,3,1,1011189,18,37,1,,4,2,2,2,2,2,,,2,,2,2,,,1,2,2,2,2,2,2,0,25,1,1,2,3,2,2,2,2,2006,1,4,,,,,,,,,,3,5,3,3,3,300,0,0,0,1,,16,0,2,0,0,18000,30,1,1,1,,1,903,999,,2,1,,1,,,1,1,7860,90,46,,,,4,6111,1,,0,230,3,18000,18300,1,93,2500,1,1,2,2,2,2,2,0,0,1,0,1,0,0,0,0,,,,,119030,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,19,30,26,6,30,22,22,3,7,5,17,20,29,6,17,30,21,19,28,32,26,18,19,20,19,5,28,17,19,17,4,33,16,21,5,19,5,6,17,19,20,6,4,30,6,18,17,28,35,26,19,22,5,27,14,6,19,17,5,6,6,16,20,19,18,32,6,18,18,20,30,5,21,17,32,20,26,32,21
P,2.017E+12,6,2,2500,3,1,1011189,13,18,1,,,2,2,2,2,2,,,2,,2,,,,2,2,2,1,2,2,2,0,,,,2,5,,,,,,1,4,,,,,,,,,,2,3,2,2,3,0,0,2,0,2,13,14,0,2,0,0,0,,3,,2,,1,903,999,,2,,,6,,,1,1,,,,,,,6,,1,,0,,4,0,0,1,93,,,2,1,3,2,2,2,0,0,1,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,19,25,6,29,15,18,4,5,3,13,14,19,3,12,25,13,17,20,24,19,14,15,15,13,3,21,11,12,11,4,24,13,14,5,15,5,4,10,12,16,4,3,29,5,13,12,21,24,23,13,13,4,19,13,4,12,15,4,2,6,13,14,16,14,29,3,13,12,14,17,3,17,15,23,13,22,26,12
P,2.017E+12,6,3,2500,3,1,1011189,23,17,1,,,2,2,2,1,2,,,1,,,,,,2,2,2,1,2,2,2,0,,,,2,5,,,,,,1,4,,,,,,,,,,2,3,2,2,3,0,0,2,0,2,12,13,0,1,8800,0,0,,3,,2,,1,903,999,,1,,7,6,,,1,1,,,,,,,6,,1,7,1,,,0,8800,1,93,,,2,1,1,2,2,2,0,0,1,0,1,0,0,0,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,39,34,8,44,27,25,6,7,5,20,23,31,6,20,40,23,22,38,36,37,21,20,26,23,7,43,19,23,19,7,42,21,28,8,29,6,6,20,24,28,7,6,40,7,20,24,43,37,34,22,22,6,32,23,5,19,22,5,7,10,20,22,20,25,43,5,25,18,25,40,8,28,26,43,21,39,40,20
P,2.017E+12,6,4,2500,3,1,1011189,21,7,1,,,2,2,2,,2,,,2,,,,,,2,2,2,1,2,2,2,,,,,2,5,,,,,,1,,,,,,,,,,,,,,,,,,2,,2,3,4,,2,,,,,,,,,1,903,999,,2,,7,,,,1,1,,,,,,,,,1,7,1,,,,,1,93,,,2,1,4,2,2,2,0,0,1,0,1,0,0,0,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,37,36,7,37,24,24,4,6,6,22,19,33,4,19,34,19,23,30,36,35,23,20,21,24,6,29,20,22,21,7,37,20,21,6,24,7,8,19,21,23,6,5,36,6,22,23,34,35,29,20,22,6,33,17,5,22,21,5,7,7,20,25,19,22,40,6,18,19,26,33,6,23,20,40,21,33,37,22
P,2.017E+12,6,5,2500,3,1,1011189,27,3,1,,,,2,2,,,,,,,,,,,1,2,2,1,2,2,2,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,2,,1,,1,,2,,,,,,,,,1,903,999,,2,,7,,,,1,1,,,,,,,,,1,7,1,,,,,1,93,,,1,1,4,2,2,2,0,0,1,0,1,0,0,0,1,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,46,43,7,51,27,26,7,10,8,30,30,39,5,26,48,25,29,43,47,35,33,27,24,27,6,34,26,38,28,14,56,26,27,9,26,5,8,21,27,27,6,9,55,8,29,34,38,44,37,26,36,8,36,24,9,35,24,5,9,8,27,32,30,30,42,8,25,26,30,40,8,31,32,51,24,45,50,27
